iter	RMSE
0	0.3453261843
1	0.3375307714
2	0.329738512
3	0.323060793
4	0.3163975165
5	0.3092804862
6	0.3031903066
7	0.2959619182
8	0.2896921878
9	0.2844557544
10	0.2795101686
11	0.2749490431
12	0.2700307425
13	0.266113565
14	14	0.2555425815	15	0.2513894716	16	0.2471522417	0.2493999315
118	0.2398054175119	0.2362422928220	0.232908889321	0.2362374514
22	0.233281328
23	0.2307531138
24	0.2279432346
25	0.224984301
26	0.2225635541
27	0.2201571975
28	0.2174951578
29	0.2150815827
30	0.212798897
31	0.2108162539
32	0.2087709604
33	0.2068796805
34	34	0.199214521
35	0.1980031893636	0.19623905
37	0.1946365363
38	0.1930223105
39	0.1917312463
40	0.1902685691
41	0.189085849
42	0.1879617369
43	0.1868227526
44	0.1855916604
45	0.184406151
46	0.1832471931
47	0.1822687152
48	0.1810167746
49	0.1799638636
50	0.1791282193
51	0.1782883327
52	0.1774088292
53	0.1767771346
54	0.1759367134
55	0.1752367932
56	0.1747791588
57	0.1743171066
58	0.1734505043
59	0.1726794034
6060	0.1783486257
61	0.1779996351
62	0.1774340364
63	0.176369378
64	0.1759188832
65	0.1753975596
66	0.1749876184
67	0.1743092453
68	0.1735269498
69	0.1730553726
70	0.1726230876
71	0.1719869697
72	0.1712873555
73	0.1708343151
74	0.1704395821
75	0.1700053158
76	0.1695239755
77	0.1687975526
78	0.1681513062
79	0.1676606402
80	0.1674813414
81	0.1671969262
82	0.1665609492
83	0.1661866173
84	0.1656159491
85	0.1655021622
86	0.165225438
87	0.1644536624
88	0.1639412357
89	0.1636356223
90	0.1631985394
91	0.162822009
92	0.1625896704
93	0.1624488788
94	0.1619178632
95	0.1614761779
96	0.1612943398
97	0.1607516033
98	0.1604591151
99	0.1602845513
100	0.159842494
101	0.1594545239
102	0.1589598128
103	0.158678543
104	0.1584881173
105	0.1583128742
106	0.158004182
107	0.1577707886
108	0.1576189322
109	0.1573300834
110	0.1572102161
111	0.1569984787
112	0.1567560075
113	0.156153558
114	0.1557777188
115	0.155436635
116	0.1550929644
117	0.1549001237
118	0.1544325206
119	0.1542543285
120	0.154073605
121	0.1535327018
122	0.1532361934
123	0.1529826564
124	0.152813951
125	0.1525621817
126	0.152459933
127	0.1523254629
128	0.1519990601
129	0.1517808774
130	0.1516918663
131	0.151390942
132	0.1512606598
133	0.1510132712
134	0.1505687917
135	0.1503873228
136	0.1501975601
137	0.1496601824
138	0.149368861
139	0.1492044153
140	0.1487895268
141	0.1486502998
142	0.1482932589
143	0.1481060341
144	0.1478685991
145	0.1477809464
146	0.1475379338
147	0.1472019291
148	0.1467806543
149	0.1464481144
150	0.1463270348
151	0.1460306759
152	0.145648291
153	0.1454007762
154	0.1452848714
155	0.1451455766
156	0.144951504
157	0.1447314175
158	0.1444979435
159	0.1443024331
160	0.1439776273
161	0.1437591958
162	0.1436439984
163	0.1433175783
164	0.1430879489
165	0.1428386714
166	0.1427105942
167	0.1423899113
168	0.1422122589
169	0.1420088624
170	0.1417930877
171	0.141637085
172	0.1411706551
173	0.1408656953
174	0.1407510055
175	0.140651327
176	0.1403153856
177	0.1399841003
178	0.1395715091
179	0.1393720912
180	0.1391843343
181	0.1388429959
182	0.1385263854
183	0.1381981847
184	0.1378061878
185	0.1372713431
186	0.1371490546
187	0.1370642815
188	0.137034284
189	0.1370003225
190	0.1366748895
191	0.1366259343
192	0.1365974296
193	0.1361366727
194	0.1359520577
195	0.1358703775
196	0.1354571705
197	0.1350441784
198	0.1348965211
199	0.1348672526
034575
4921
