iter	Passed	Remaining
0	143	28475
1	146	14459
2	149	9784
3	152	7449
4	155	6081
5	159	5142
6	162	4480
7	165	3965
8	195	4146
9	198	3764
10	200	3452
11	203	3184
12	206	2965
13	208	2775
14	210	2595
15	213	2450
16	215	2321
17	219	2220
18	221	2112
19	225	2028
20	228	1950
21	240	1947
22	243	1873
23	246	1804
24	248	1742
25	252	1686
26	255	1634
27	257	1583
28	260	1537
29	263	1494
30	266	1453
31	269	1415
32	272	1378
33	275	1343
34	282	1329
35	283	1291
36	304	1341
37	307	1309
38	310	1280
39	313	1252
40	315	1224
41	318	1198
42	321	1173
43	325	1152
44	327	1128
45	330	1106
46	333	1084
47	335	1062
48	338	1042
49	341	1023
50	346	1010
51	348	992
52	351	975
53	354	958
54	357	941
55	359	925
56	361	906
57	363	890
58	366	876
59	369	860	374	854
61	385	857
62	399	868
63	402	855
64	405	842
65	408	829
66	412	818
67	415	805
68	418	795
69	422	784
70	424	772
71	461	819
72	463	807
73	495	843
74	499	832
75	502	819
76	505	807
77	508	795
78	511	784
79	514	771
80	516	758
81	519	747
82	523	737
83	526	727
84	529	716
85	530	703
86	538	699
87	542	689
88	544	679
89	549	671
90	551	661
91	555	651
92	556	640
93	559	630
94	562	622
95	565	613
96	568	603
97	571	595
98	576	588
99	580	580
100	584	573
101	587	564
102	591	557
103	596	550
104	599	542
105	603	534
106	606	526
107	609	518
108	613	512
109	617	505
110	620	497
111	623	490
112	628	484
113	631	476
114	634	468
115	637	461
116	640	454
117	643	447
118	646	440
119	649	433
120	652	426
121	655	419
122	660	413
123	663	406
124	665	399
125	667	392
126	670	385
127	673	378
128	676	372
129	679	365
130	682	359
131	685	353
132	688	346
133	691	340
134	693	334
135	696	327
136	699	321
137	701	315
138	704	309
139	706	302
140	709	296
141	711	290
142	714	284
143	717	278
144	720	273
145	722	267
146	725	261
147	728	255
148	731	250
149	733	244
150	746	242
151	750	236
152	752	231
153	755	225
154	759	220
155	762	215
156	767	210
157	770	204
158	773	199
159	776	194
160	779	188
161	783	183
162	787	178
163	790	173
164	793	168
165	796	163
166	799	157
167	802	152
168	831	152
169	834	147
170	838	142
171	841	137
172	845	131
173	848	126
174	851	121
175	854	116
176	856	111
177	859	106
178	870	102
179	873	97
180	877	92
181	881	87
182	888	82
183	892	77
184	897	72
185	902	67
186	905	62
187	908	57
188	914	53
189	917	48
190	920	43
191	925	38
192	931	33
193	933	28
194	936	24
195	940	19
196	943	14
197	947	9
198	950	4
199	954	0
0
